id;idagence;codeagence;numero;nom;adresse
1;48079;process improvement;71293;Chair encryption Jewelery;hacking
2;5072;Liberian Dollar;31119;system;Table Dobra
3;60696;Yemeni Rial Electronics function;39352;Baby;Triple-buffered Developer
4;76479;invoice;78397;payment Markets;Personal Loan Account Bedfordshire next-generation
5;67342;Ergonomic;2785;plum Pennsylvania;Reduced
6;19545;GB;55001;Auto Loan Account;Washington
7;46079;success withdrawal;71026;action-items parsing;Home envisioneer
8;56438;Illinois Toys;6198;Kansas Officer matrix;navigate moratorium
9;82235;reboot;30955;transmitter RSS;Human Games
10;89511;pink programming facilitate;11788;Senior plum turquoise;Research
