id;idalertemail;codealertemail;typealertemail;objetalertemail;adressemaildiffusion
1;63093;Soft;Home Loan Account Dynamic deposit;Drives 1080p;Expanded impactful
2;23991;Fish Timor-Leste;Missouri;Auto Loan Account Configuration Coordinator;payment microchip
3;30006;Games Refined Concrete Car Avon;synthesizing matrix;XML quantifying Investment Account;card PCI
4;4123;Coordinator Glens Togo;Plastic Automated;Jewelery;driver
5;67136;RAM;Upgradable driver matrix;SDD;International
6;32683;Belize Dollar;Agent Intuitive Syrian Pound;red;Towels array Canada
7;92428;Rustic Advanced;generating Ergonomic;Function-based XML Virtual;Outdoors
8;54531;intranet Sleek;Usability firewall payment;yellow 1080p deposit;quantifying Tactics
9;4590;Cheese Customer-focused;Vermont open-source;Personal Loan Account;infrastructures Intelligent New Caledonia
10;42370;parsing;Quality-focused Chile Optimization;Garden Port North Carolina;capability unleash International
