id;idattributaire;libelle;codeattributaire
1;97576;portals silver;American Samoa Brand input
2;45241;Investor Berkshire Nepal;Metrics
3;27626;Rubber Lead Heights;Human Persevering
4;14647;Electronics Associate;open-source Officer
5;4440;asymmetric Awesome;Intelligent Steel Sausages Global
6;84986;Investment Account vertical index;real-time Rustic Metal Table plum
7;12970;Ohio Latvia;HTTP COM
8;86567;interfaces JBOD;Awesome
9;591;back-end deposit Creative;Administrator
10;89924;Investment Account Vermont knowledge user;Shoes Borders Canyon
