id;iddelaiannulation;codedelaiannulation;designationdelaiannulation;valeurdelaiannulation;statut
1;21898;Intelligent Steel Bike Wooden red;GB;75973;gold web-readiness
2;74690;Bacon cohesive Kina;Concrete Oman;18819;Expressway standardization
3;5240;cross-platform challenge Licensed Soft Soap;Forint Sri Lanka Rupee;24451;Kenyan Shilling Soap virtual
4;12896;transmitting Wooden;back up;25502;Avon redefine
5;48462;compelling Object-based;Money Market Account;53906;override
6;2000;actuating payment Sharable;Sierra Leone Secured;62090;Operations cross-platform
7;87162;Mississippi;Car;70394;Chips Organic Licensed Frozen Keyboard
8;62077;discrete Rubber;generate;39633;Computers
9;58587;Table Consultant;Licensed Frozen;96009;Tasty Cotton Computer grow Alaska
10;51771;Global European Unit of Account 9(E.U.A.-9) Hat;Unbranded backing up hack;69585;mobile Rapids Gorgeous
