id;idhypodrome;codehypodrome;abreviation;pays
1;92613;56534;Virginia e-enable;Credit Card Account Table
2;84394;57191;Trafficway;Arizona PNG
3;79763;77594;Metal Berkshire;online compress incentivize
4;17652;6056;aggregate;Jewelery
5;27575;73734;Georgia mobile;Handmade Money Market Account
6;27109;30644;Unbranded Soft Chips Kids Research;Chicken Re-engineered
7;94883;21437;bleeding-edge;Principal portals
8;71996;87910;Kids Vatu proactive;Data
9;37729;292;Gorgeous Legacy withdrawal;SQL Forks auxiliary
10;85163;350;THX synthesize;parsing Bacon
