id;idlotpaiement;codepaiement;type;seuil;montantavance;delaipurge;lieuautorise;lieuannulation
1;90273;Engineer ivory;collaboration convergence Harbor;96130;12502;26077;indexing bottom-line;Rustic Crescent Compatible
2;66343;Libyan Dinar Libyan Dinar Metal;deposit synthesizing;59209;33506;29594;Distributed Israel;approach enterprise Licensed
3;76115;Plastic Baby;alarm;71566;33953;15827;users;Operative Jewelery leverage
4;50459;parsing Credit Card Account;Tasty Metal Pizza;72427;9196;47022;Tasty Wooden Shoes;transmit e-services Cambridgeshire
5;30750;Clothing Home Loan Account Wooden;Executive;6519;56582;76286;Configuration bandwidth deposit;hardware AI
6;54847;Plastic wireless hard drive;Finland;73735;9119;89026;Licensed Frozen Chips solid state Clothing;array Ergonomic Cotton Ball
7;88507;virtual sky blue;input Associate;18893;88616;12041;USB;Quality Ball systematic
8;24320;6th generation;Computer override;11107;46054;94056;Zambian Kwacha brand Cambridgeshire;Electronics Avon
9;95031;Granite;monitor Practical French Polynesia;50309;27661;34725;olive Soft;Assurance Prairie attitude-oriented
10;35447;transmit Personal Loan Account Intelligent Steel Salad;Nepal;63573;80754;11173;tan Nebraska;transmitter
