id;numero;agence;designation;ville;statut
1;69587;THX Myanmar;multi-byte;purple Bedfordshire Direct;Kwanza infrastructures Intranet
2;59898;optical Practical;copying secondary Saint Vincent and the Grenadines;deposit Small;Court Mountain Organic
3;48484;incubate even-keeled Station;Refined;web-enabled Checking Account;Multi-layered Baby
4;17337;deposit Savings Account;Innovative emulation;microchip Credit Card Account Rue;Dynamic
5;17077;ROI;portals Guarani Fantastic;Estate monetize Intelligent Granite Computer;Investor
6;3567;orchestrate Frozen Frozen;index Specialist;transmitter Nebraska synergies;granular
7;10198;Dynamic Awesome Granite Sausages;compress;hacking;even-keeled
8;1162;array;overriding;New Jersey Industrial;Home Loan Account synthesize Handmade
9;2057;reboot virtual Virgin Islands, U.S.;paradigms Granite Avon;Garden;Jewelery withdrawal
10;3602;FTP;navigating Heard Island and McDonald Islands;Tasty robust;Security synthesizing Madagascar
