id;idproduit;designation;libelle;codeproduit;enjeumin;ordre;nbrechevauxbase;nbreminpartant;champx;express;appartenance;enjeumax;statut
1;98199;lavender;solutions;Health Future Grocery;76924;connecting;97284;95299;87545;86858;Iowa Missouri Movies;94621;online SAS
2;636;Personal Loan Account Unions;Wooden Idaho Balanced;exuding Shores;61480;China Credit Card Account;16952;92924;76882;17906;Jewelery navigate;4447;Practical Steel Hat PNG Facilitator
3;64198;Practical;Gloves transitional;Money Market Account sensor;82739;hack SMTP;36719;30088;11163;3019;override clear-thinking;1228;bypass
4;11024;violet Corporate;salmon 24/365 metrics;Multi-channelled Shirt;49939;Graphical User Interface;2242;82032;84030;48148;Outdoors mission-critical Avon;80572;Table
5;14611;Chair Incredible Steel Bike Connecticut;instruction set;compress;11196;Savings Account;35547;70899;75194;56143;Handcrafted;74238;Home Loan Account orchid
6;94135;National Computers;Cheese;navigating niches;47947;target Communications calculate;34431;75589;71350;68038;calculate;98134;deposit Plastic
7;67917;Persevering;Sleek Wooden Fish mint green Principal;XML;13302;scalable Licensed;14908;12421;33319;49822;Nevada deposit;71767;Borders
8;31544;Bedfordshire;Berkshire;Clothing calculating;8143;Wisconsin SMTP;7360;47997;60213;70469;Identity online adapter;75325;Credit Card Account
9;60386;Cotton Unbranded;Factors connect FTP;green distributed tangible;52466;firewall viral National;81720;96472;30320;73748;Auto Loan Account Regional;73177;Programmable Architect solutions
10;6367;Frozen Toys South Dakota;copy Colorado;Rubber Bedfordshire USB;99609;Direct South Carolina;8379;53134;97128;33104;port Personal Loan Account Borders;5714;input Rustic Metal Fish Tennessee
