id;idtypepdv;reftypepdv;type;nbremaxterminaux;plafondpostpaye
1;50766;Chair web-readiness;North Dakota;16547;43207
2;3698;Multi-lateral;4th generation Incredible Personal Loan Account;82564;98893
3;28857;bricks-and-clicks pink;Maryland;70876;84284
4;80449;systems Rial Omani Compatible;best-of-breed;4359;11061
5;51270;magenta Shoes;feed copying;30438;93469
6;1408;Alabama Product;even-keeled Representative Rustic;91936;50366
7;36134;channels Administrator SMS;Bedfordshire;38821;11651
8;82766;card;Concrete optical;13351;90979
9;333;Indiana Ergonomic Borders;focus group;89110;67906
10;32887;microchip monitor;Chair Credit Card Account;1507;83520
