id;idversion;refversion;libelle;date;fichier;idtypeterminal_id
1;51903;Licensed IB;Berkshire New Jersey;2020-08-17T03:19:26;Credit Card Account solid state West Virginia;1
2;65559;ivory convergence indexing;global Macedonia world-class;2020-08-17T01:21:30;yellow;2
3;44901;Israel online payment;Gorgeous invoice Solutions;2020-08-17T03:42:51;Checking Account Plastic copying;3
4;14490;Square;panel auxiliary;2020-08-16T17:02:18;Paradigm Refined;4
5;5839;lime invoice;input support Saudi Arabia;2020-08-16T22:41:29;bypassing;5
6;4024;driver;compressing demand-driven;2020-08-17T07:04:50;input Rustic RSS;6
7;44334;Bangladesh Chips;Bedfordshire;2020-08-17T01:57:06;programming functionalities Implementation;7
8;26306;sky blue communities budgetary management;Personal Loan Account;2020-08-16T17:39:26;Heard Island and McDonald Islands high-level;8
9;43396;Sports Technician Orchard;California;2020-08-17T02:39:11;orchestration Brazilian Real Health;9
10;4688;hack Personal Loan Account;Liaison;2020-08-17T00:53:52;Cross-group Balboa US Dollar maximize;10
