id;idvoucher;codevoucher;statut;lieu;seuil;delaipurge;plafond
1;58691;indigo Usability;deposit bluetooth synthesize;Handmade Rubber Chair multi-byte;13700;44394;48707
2;99126;Berkshire Bedfordshire;Practical e-tailers;whiteboard;9134;83748;42418
3;90811;payment Pants Producer;silver;networks invoice;83547;90449;80244
4;18258;reboot Ergonomic Metal Ball synthesizing;back-end;Awesome Cotton Computer Regional;39464;32334;25865
5;31127;FTP;United Arab Emirates Dynamic;Guatemala Pants;15833;46620;49513
6;91471;Stravenue Wooden Investment Account;users Home Saudi Riyal;reboot olive;31662;95231;75601
7;64780;Ergonomic strategize;blue;virtual Future Engineer;66659;50465;71375
8;25428;Florida USB;Awesome Cotton Salad;leading edge International;24831;98995;67523
9;3713;microchip Associate;holistic;Kids bypassing Universal;70254;76680;89820
10;59528;Plastic;e-business circuit Mississippi;primary;56974;23478;9236
